servicio_id,inventario_id,cliente_id,cliente_nombre,tipo_equipo,marca,modelo,plan_id,actividad,fecha_inicio,fecha_fin,horas_servicio,tecnico,resultado,repuestos_usados,costo_manodeobra_ars,costo_repuestos_ars,costo_total_ars,ubicacion
SV-000001,EQP-0005,CLI-001,Cliente 001,Motor Cummins,Cummins,QSB 6.7,CU-001,Cambio de aceite y filtro de lubricación,05/06/2024,06/06/2024,"2,52",L. Gómez,OK,aceite:31967; filtro_aceite:11864,88200,43831,132031,Oficina 2 - Tolhuin
SV-000002,EQP-0005,CLI-001,Cliente 001,Motor Cummins,Cummins,QSB 6.7,CU-001,Cambio de aceite y filtro de lubricación,12/04/2024,12/05/2024,"1,5",R. Soto,Reparado,aceite:22933; filtro_aceite:11885,66850,34818,101668,Oficina 2 - Tolhuin
SV-000003,EQP-0005,CLI-001,Cliente 001,Motor Cummins,Cummins,QSB 6.7,CU-002,Revisión de inyectores y limpieza de bomba,30/05/2024,31/05/2024,"2,76",M. Gómez,OK,sin_repuestos,96600,0,96600,Oficina 2 - Tolhuin
SV-000004,EQP-0005,CLI-001,Cliente 001,Motor Cummins,Cummins,QSB 6.7,CU-002,Revisión de inyectores y limpieza de bomba,29/05/2025,30/05/2025,"3,14",A. Torres,Reparado,sin_repuestos,109900,0,109900,Oficina 2 - Tolhuin
SV-000005,EQP-0005,CLI-001,Cliente 001,Motor Cummins,Cummins,QSB 6.7,CU-003,Sustitución de filtro de aire primario/secundario,24/05/2024,25/05/2024,"1,06",A. Torres,Observaciones,filtro_aire:22744,37100,22744,59844,Oficina 2 - Tolhuin
SV-000006,EQP-0005,CLI-001,Cliente 001,Motor Cummins,Cummins,QSB 6.7,CU-003,Sustitución de filtro de aire primario/secundario,27/11/2024,28/11/2024,"0,84",S. López,OK,filtro_aire:13350,29400,13350,42750,Oficina 2 - Tolhuin
SV-000007,EQP-0005,CLI-001,Cliente 001,Motor Cummins,Cummins,QSB 6.7,CU-003,Sustitución de filtro de aire primario/secundario,26/05/2025,27/05/2025,"1,07",A. Torres,OK,filtro_aire:27968,37450,27968,65418,Oficina 2 - Tolhuin
SV-000008,EQP-0005,CLI-001,Cliente 001,Motor Cummins,Cummins,QSB 6.7,CU-004,Limpieza de sistema de refrigeración y verificación de termostato,06/06/2024,06/07/2024,"1,81",J. Pérez,OK,sin_repuestos,63350,0,63350,Oficina 2 - Tolhuin
SV-000009,EQP-0005,CLI-001,Cliente 001,Motor Cummins,Cummins,QSB 6.7,CU-004,Limpieza de sistema de refrigeración y verificación de termostato,06/07/2025,06/08/2025,"2,12",J. Pérez,OK,sin_repuestos,74200,0,74200,Oficina 2 - Tolhuin
SV-000010,EQP-0005,CLI-001,Cliente 001,Motor Cummins,Cummins,QSB 6.7,CU-005,Cambio de filtro de combustible,30/11/2024,12/01/2024,"0,95",R. Soto,OK,filtro_combustible:12214,33250,12214,45464,Oficina 2 - Tolhuin
SV-000011,EQP-0005,CLI-001,Cliente 001,Motor Cummins,Cummins,QSB 6.7,CU-006,Revisión de válvulas y ajuste de holgura,05/03/2025,06/03/2025,"2,49",S. López,OK,sin_repuestos,87150,0,87150,Oficina 2 - Tolhuin
SV-000012,EQP-0005,CLI-001,Cliente 001,Motor Cummins,Cummins,QSB 6.7,CU-007,Verificación de batería y alternador,27/11/2024,27/11/2024,"0,4",J. Pérez,Reparado,sin_repuestos,14000,0,14000,Oficina 2 - Tolhuin
SV-000013,EQP-0005,CLI-001,Cliente 001,Motor Cummins,Cummins,QSB 6.7,CU-007,Verificación de batería y alternador,03/04/2025,05/03/2025,"0,61",L. Gómez,OK,sin_repuestos,21350,0,21350,Oficina 2 - Tolhuin
SV-000014,EQP-0005,CLI-001,Cliente 001,Motor Cummins,Cummins,QSB 6.7,CU-007,Verificación de batería y alternador,06/01/2025,06/02/2025,"0,73",R. Soto,Observaciones,sin_repuestos,25550,0,25550,Oficina 2 - Tolhuin
SV-000015,EQP-0005,CLI-001,Cliente 001,Motor Cummins,Cummins,QSB 6.7,CU-007,Verificación de batería y alternador,31/08/2025,09/01/2025,"0,61",A. Torres,OK,sin_repuestos,21350,0,21350,Oficina 2 - Tolhuin
SV-000016,EQP-0005,CLI-001,Cliente 001,Motor Cummins,Cummins,QSB 6.7,CU-008,Limpieza de tanque de combustible,06/07/2024,06/08/2024,"1,81",A. Torres,OK,sin_repuestos,63350,0,63350,Oficina 2 - Tolhuin
SV-000017,EQP-0005,CLI-001,Cliente 001,Motor Cummins,Cummins,QSB 6.7,CU-008,Limpieza de tanque de combustible,06/06/2025,06/07/2025,"1,94",S. López,OK,sin_repuestos,67900,0,67900,Oficina 2 - Tolhuin
SV-000018,EQP-0005,CLI-001,Cliente 001,Motor Cummins,Cummins,QSB 6.7,CU-009,Ensayo de carga y control de emisiones,25/05/2024,26/05/2024,"1,85",S. López,OK,sin_repuestos,64750,0,64750,Oficina 2 - Tolhuin
SV-000019,EQP-0048,CLI-001,Cliente 001,Generador Generac Guardian,Generac,Guardian 8 kVA (50Hz),GG-001,Cambio de aceite y filtro,03/01/2025,04/01/2025,"1,52",M. Ruiz,OK,aceite:30400; filtro_aceite:16456,45600,46856,92456,Planta 3 - Río Grande
SV-000020,EQP-0048,CLI-001,Cliente 001,Generador Generac Guardian,Generac,Guardian 8 kVA (50Hz),GG-001,Cambio de aceite y filtro,07/10/2025,10/08/2025,"1,51",M. Gómez,OK,aceite:27137; filtro_aceite:15548,45300,42685,87985,Planta 3 - Tolhuin
SV-000021,EQP-0048,CLI-001,Cliente 001,Generador Generac Guardian,Generac,Guardian 8 kVA (50Hz),GG-003,Revisión de bujías y electrodos,23/09/2025,24/09/2025,"1,25",R. Soto,OK,bujias:12482,37500,12482,49982,Planta 3 - Tolhuin
SV-000022,EQP-0048,CLI-001,Cliente 001,Generador Generac Guardian,Generac,Guardian 8 kVA (50Hz),GG-004,Comprobación de batería y cargador,01/05/2025,01/06/2025,"0,43",R. Soto,Reparado,sin_repuestos,12900,0,12900,Planta 3 - Ushuaia
SV-000023,EQP-0048,CLI-001,Cliente 001,Generador Generac Guardian,Generac,Guardian 8 kVA (50Hz),GG-004,Comprobación de batería y cargador,04/01/2025,04/02/2025,"0,66",J. Pérez,Reparado,sin_repuestos,19800,0,19800,Planta 3 - Tolhuin
SV-000024,EQP-0048,CLI-001,Cliente 001,Generador Generac Guardian,Generac,Guardian 8 kVA (50Hz),GG-004,Comprobación de batería y cargador,25/09/2025,26/09/2025,"0,34",J. Pérez,Observaciones,sin_repuestos,10200,0,10200,Planta 3 - Tolhuin
SV-000025,EQP-0048,CLI-001,Cliente 001,Generador Generac Guardian,Generac,Guardian 8 kVA (50Hz),GG-005,Verificación de válvulas y ajuste de luz,10/02/2025,10/03/2025,"1,12",S. López,Reparado,sin_repuestos,33600,0,33600,Planta 3 - Río Grande
SV-000026,EQP-0048,CLI-001,Cliente 001,Generador Generac Guardian,Generac,Guardian 8 kVA (50Hz),GG-006,Prueba de carga en modo manual,10/01/2024,10/02/2024,"0,57",M. Ruiz,Reparado,sin_repuestos,17100,0,17100,Planta 3 - Río Grande
SV-000027,EQP-0048,CLI-001,Cliente 001,Generador Generac Guardian,Generac,Guardian 8 kVA (50Hz),GG-006,Prueba de carga en modo manual,24/12/2024,25/12/2024,"0,91",M. Gómez,Reparado,sin_repuestos,27300,0,27300,Planta 3 - Tolhuin
SV-000028,EQP-0048,CLI-001,Cliente 001,Generador Generac Guardian,Generac,Guardian 8 kVA (50Hz),GG-006,Prueba de carga en modo manual,30/06/2025,07/01/2025,"0,83",R. Soto,Observaciones,sin_repuestos,24900,0,24900,Planta 3 - Ushuaia
SV-000029,EQP-0048,CLI-001,Cliente 001,Generador Generac Guardian,Generac,Guardian 8 kVA (50Hz),GG-006,Prueba de carga en modo manual,26/09/2025,27/09/2025,"0,93",M. Gómez,Observaciones,sin_repuestos,27900,0,27900,Planta 3 - Ushuaia
SV-000030,EQP-0048,CLI-001,Cliente 001,Generador Generac Guardian,Generac,Guardian 8 kVA (50Hz),GG-007,Limpieza de compartimiento y protección anticorrosión,27/09/2025,27/09/2025,"0,62",R. Soto,OK,sin_repuestos,18600,0,18600,Planta 3 - Tolhuin
SV-000031,EQP-0048,CLI-001,Cliente 001,Generador Generac Guardian,Generac,Guardian 8 kVA (50Hz),GG-008,Verificación de sistema de arranque automático,10/04/2024,10/05/2024,"0,26",M. Ruiz,OK,sin_repuestos,7800,0,7800,Planta 3 - Río Grande
SV-000032,EQP-0048,CLI-001,Cliente 001,Generador Generac Guardian,Generac,Guardian 8 kVA (50Hz),GG-008,Verificación de sistema de arranque automático,04/04/2025,04/04/2025,"0,7",M. Ruiz,OK,sin_repuestos,21000,0,21000,Planta 3 - Ushuaia
