servicio_id;inventario_id;cliente_id;cliente_nombre;tipo_equipo;marca;modelo;plan_id;actividad;fecha_inicio;fecha_fin;horas_servicio;tecnico;resultado;repuestos_usados;costo_manodeobra_ars;costo_repuestos_ars;costo_total_ars;ubicacion;Ubicacion_cliente;Tecnicos_Bigtools;Horas_servicio_HHMM;Inicio_Service;Fin_service;Año
SV-000088;EQP-0082;CLI-001;Cliente 001;Soldadora Lincoln Ranger;Lincoln Electric;Ranger 305D;LR-008;Prueba de arranque y verificacion de batería;30/8/2023 21:00;31/8/2023 21:00;1,5;A. Torres;OK;sin_repuestos;17080;0;17080;Planta 4 - Rio Grande;Rio Grande;Tecnico 6;1h 30min;miércoles, 30 de agosto de 2023;jueves, 31 de agosto de 2023;2023
SV-000189;EQP-0022;CLI-004;Cliente 004;Soldadora Lincoln Ranger;Lincoln Electric;Ranger 305D;LR-008;Prueba de arranque y verificacion de batería;27/9/2023 21:00;28/9/2023 21:00;0,6;M. Gómez;OK;sin_repuestos;16800;0;16800;Planta 4 - Rio Grande;Rio Grande;Tecnico 7;0h 36min;miércoles, 27 de septiembre de 2023;jueves, 28 de septiembre de 2023;2023
SV-000271;EQP-0041;CLI-005;Cliente 005;Soldadora Lincoln Ranger;Lincoln Electric;Ranger 305D;LR-008;Prueba de arranque y verificacion de batería;1/1/2025 21:00;2/1/2025 21:00;0,71;A. Torres;OK;sin_repuestos;19880;0;19880;Taller 2 - Rio Grande;Rio Grande;Tecnico 6;0h 43min;miércoles, 1 de enero de 2025;jueves, 2 de enero de 2025;2025
SV-000298;EQP-0045;CLI-005;Cliente 005;Soldadora Lincoln Ranger;Lincoln Electric;Ranger 305D;LR-008;Prueba de arranque y verificacion de batería;24/9/2024 21:00;25/9/2024 21:00;0,73;J. Pérez;OK;sin_repuestos;20440;0;20440;Sucursal 3 - Rio Grande;Rio Grande;Tecnico 1;0h 44min;martes, 24 de septiembre de 2024;miércoles, 25 de septiembre de 2024;2024
SV-000509;EQP-0083;CLI-005;Cliente 005;Soldadora Lincoln Ranger;Lincoln Electric;Ranger 305D;LR-008;Prueba de arranque y verificacion de batería;1/10/2022 21:00;2/10/2022 21:00;1,5;L. Gómez;OK;sin_repuestos;12600;0;12600;Planta 5 - Rio Grande;Rio Grande;Tecnico 2;1h 30min;sábado, 1 de octubre de 2022;domingo, 2 de octubre de 2022;2022
SV-000512;EQP-0083;CLI-005;Cliente 005;Soldadora Lincoln Ranger;Lincoln Electric;Ranger 305D;LR-008;Prueba de arranque y verificacion de batería;1/7/2023 21:00;2/7/2023 21:00;0,3;J. Pérez;OK;sin_repuestos;8400;0;8400;Planta 5 - Rio Grande;Rio Grande;Tecnico 1;0h 18min;sábado, 1 de julio de 2023;domingo, 2 de julio de 2023;2023
SV-000513;EQP-0083;CLI-005;Cliente 005;Soldadora Lincoln Ranger;Lincoln Electric;Ranger 305D;LR-008;Prueba de arranque y verificacion de batería;24/9/2023 21:00;25/9/2023 21:00;0,37;R. Soto;OK;sin_repuestos;10360;0;10360;Planta 5 - Rio Grande;Rio Grande;Tecnico 4;0h 22min;domingo, 24 de septiembre de 2023;lunes, 25 de septiembre de 2023;2023
SV-000514;EQP-0083;CLI-005;Cliente 005;Soldadora Lincoln Ranger;Lincoln Electric;Ranger 305D;LR-008;Prueba de arranque y verificacion de batería;28/3/2024 21:00;29/3/2024 21:00;0,52;R. Soto;OK;sin_repuestos;14560;0;14560;Planta 5 - Rio Grande;Rio Grande;Tecnico 4;0h 31min;jueves, 28 de marzo de 2024;viernes, 29 de marzo de 2024;2024
SV-000578;EQP-0099;CLI-005;Cliente 005;Soldadora Lincoln Ranger;Lincoln Electric;Ranger 305D;LR-008;Prueba de arranque y verificacion de batería;6/1/2023 21:00;7/1/2023 21:00;0,64;A. Torres;OK;sin_repuestos;17920;0;17920;Deposito 4 - Rio Grande;Rio Grande;Tecnico 6;0h 38min;viernes, 6 de enero de 2023;sábado, 7 de enero de 2023;2023
SV-000581;EQP-0099;CLI-005;Cliente 005;Soldadora Lincoln Ranger;Lincoln Electric;Ranger 305D;LR-008;Prueba de arranque y verificacion de batería;2/1/2024 21:00;3/1/2024 21:00;0,53;S. López;OK;sin_repuestos;14840;0;14840;Deposito 4 - Rio Grande;Rio Grande;Tecnico 5;0h 32min;martes, 2 de enero de 2024;miércoles, 3 de enero de 2024;2024
