falla_id;inventario_id;cliente_id;cliente_nombre;tipo_equipo;marca;modelo;fecha_deteccion;descripcion_falla;gravedad_1a5;causa_raiz;fecha_correccion;servicio_relacionado_id;ubicacion
FD-000093;EQP-0069;CLI-049;Cliente 049;Generador Generac Guardian;Generac;Guardian 8 kVA (50Hz);5/3/2024 21:00;Bajo voltaje de salida;2;Sobrecarga puntual;17/3/2024 21:00;;Depósito 5 - Tolhuin
FD-000072;EQP-0097;CLI-044;Cliente 044;Hidrolavadora Karcher;Kärcher;HDS 9/18-4 M;17/3/2025 21:00;Sobrecalentamiento por filtro obstruido;3;Desgaste natural;1/4/2025 21:00;SV-004036;Sucursal 5 - Río Grande
FD-000057;EQP-0033;CLI-044;Cliente 044;Generador Generac Guardian;Generac;Guardian 8 kVA (50Hz);22/3/2024 21:00;Sobrevelocidad detectada;3;Sobrecarga puntual;1/4/2024 21:00;SV-003031;Taller 5 - Río Grande
FD-000085;EQP-0096;CLI-048;Cliente 048;Hidrolavadora Karcher;Kärcher;HDS 9/18-4 M;27/4/2025 21:00;Sobrecalentamiento por filtro obstruido;2;Falta de limpieza;17/5/2025 21:00;SV-004313;Planta 5 - Tolhuin
FD-000068;EQP-0088;CLI-044;Cliente 044;Hidrolavadora Karcher;Kärcher;HDS 9/18-4 M;2/12/2022 21:00;Quemador no enciende;2;Componente defectuoso;22/12/2022 21:00;SV-003727;Sucursal 4 - Río Grande
FD-000071;EQP-0097;CLI-044;Cliente 044;Hidrolavadora Karcher;Kärcher;HDS 9/18-4 M;21/9/2023 21:00;Sobrecalentamiento por filtro obstruido;2;Sobrecarga puntual;22/9/2023 21:00;SV-004053;Sucursal 5 - Tolhuin
FD-000034;EQP-0057;CLI-030;Cliente 030;Soldadora Lincoln Ranger;Lincoln Electric;Ranger 305D;20/1/2024 21:00;Desgaste de cepillos del alternador;5;Ajuste incorrecto;30/1/2024 21:00;;Planta 4 - Tolhuin
FD-000073;EQP-0076;CLI-044;Cliente 044;Motor Cummins;Cummins;QSB 4.5;15/6/2024 21:00;Temperatura elevada del refrigerante;4;Desgaste natural;6/5/2024 21:00;;Taller 2 - Ushuaia
FD-000109;EQP-0016;CLI-049;Cliente 049;Soldadora Lincoln Ranger;Lincoln Electric;Ranger 305D;9/9/2024 21:00;Sobretemperatura por radiador obstruido;3;Sobrecarga puntual;8/11/2024 21:00;;Oficina 5 - Ushuaia
FD-000091;EQP-0060;CLI-049;Cliente 049;Generador Generac Guardian;Generac;Guardian 8 kVA (50Hz);24/5/2023 21:00;Fallo en bujías;5;Desgaste natural;5/4/2023 21:00;;Obra 3 - Ushuaia
FD-000055;EQP-0081;CLI-040;Cliente 040;Soldadora Lincoln Ranger;Lincoln Electric;Ranger 305D;15/2/2023 21:00;Dificultad de arranque (batería baja);5;Componente defectuoso;20/2/2023 21:00;;Obra 5 - Ushuaia
FD-000053;EQP-0087;CLI-038;Cliente 038;Soldadora Lincoln Ranger;Lincoln Electric;Ranger 305D;12/7/2023 21:00;Desgaste de cepillos del alternador;5;Componente defectuoso;15/7/2023 21:00;;Oficina 1 - Tolhuin
FD-000015;EQP-0086;CLI-014;Cliente 014;Motor Cummins;Cummins;QSB 6.7;22/1/2025 21:00;Baja presión de combustible;2;Desgaste natural;24/1/2025 21:00;;Planta 4 - Río Grande
FD-000042;EQP-0024;CLI-036;Cliente 036;Hidrolavadora Karcher;Kärcher;HDS 9/18-4 M;15/6/2024 21:00;Pérdida de presión en manguera;3;Ajuste incorrecto;19/6/2024 21:00;;Planta 5 - Tolhuin
FD-000029;EQP-0043;CLI-030;Cliente 030;Motor Cummins;Cummins;QSB 4.5;15/11/2022 21:00;Fallo sensor de presión de aceite;4;Sobrecarga puntual;21/11/2022 21:00;;Depósito 3 - Río Grande
FD-000079;EQP-0034;CLI-044;Cliente 044;Soldadora Lincoln Ranger;Lincoln Electric;Ranger 305D;2/1/2023 21:00;Desgaste de cepillos del alternador;4;Desgaste natural;9/1/2023 21:00;SV-003064;Obra 1 - Río Grande
FD-000086;EQP-0003;CLI-048;Cliente 048;Soldadora Lincoln Ranger;Lincoln Electric;Ranger 305D;7/1/2024 21:00;Desgaste de cepillos del alternador;3;Componente defectuoso;12/1/2024 21:00;SV-004139;Taller 3 - Tolhuin
FD-000078;EQP-0034;CLI-044;Cliente 044;Soldadora Lincoln Ranger;Lincoln Electric;Ranger 305D;4/9/2022 21:00;Sobretemperatura por radiador obstruido;3;Sobrecarga puntual;11/9/2022 21:00;SV-003100;Obra 1 - Río Grande
FD-000027;EQP-0043;CLI-030;Cliente 030;Motor Cummins;Cummins;QSB 4.5;22/8/2023 21:00;Baja presión de combustible;3;Componente defectuoso;23/8/2023 21:00;;Depósito 3 - Río Grande
FD-000045;EQP-0002;CLI-036;Cliente 036;Motor Cummins;Cummins;QSB 6.7;18/5/2024 21:00;Inyectores con suciedad;2;Falta de limpieza;26/5/2024 21:00;;Sucursal 4 - Tolhuin
FD-000009;EQP-0083;CLI-005;Cliente 005;Soldadora Lincoln Ranger;Lincoln Electric;Ranger 305D;10/10/2024 21:00;Fuga en conducto de combustible;4;Sobrecarga puntual;13/10/2024 21:00;;Planta 5 - Tolhuin
FD-000012;EQP-0009;CLI-009;Cliente 009;Generador Generac Guardian;Generac;Guardian 10 kVA (50Hz);13/2/2023 21:00;Fallo en bujías;1;Ajuste incorrecto;4/3/2023 21:00;;Oficina 5 - Río Grande
FD-000017;EQP-0008;CLI-023;Cliente 023;Hidrolavadora Karcher;Kärcher;HDS 9/18-4 M;5/1/2022 21:00;Quemador no enciende;3;Componente defectuoso;6/1/2022 21:00;SV-000862;Sucursal 4 - Río Grande
FD-000077;EQP-0014;CLI-044;Cliente 044;Soldadora Lincoln Ranger;Lincoln Electric;Ranger 305D;3/5/2024 21:00;Fuga en conducto de combustible;5;Sobrecarga puntual;3/5/2024 21:00;;Sucursal 4 - Tolhuin
FD-000016;EQP-0044;CLI-017;Cliente 017;Soldadora Lincoln Ranger;Lincoln Electric;Ranger 305D;31/8/2023 21:00;Desgaste de cepillos del alternador;3;Componente defectuoso;15/9/2023 21:00;SV-000804;Taller 5 - Río Grande
FD-000050;EQP-0049;CLI-036;Cliente 036;Motor Cummins;Cummins;QSB 6.7;24/6/2024 21:00;Baja presión de combustible;4;Desgaste natural;11/7/2024 21:00;SV-002459;Sucursal 5 - Río Grande
