inventario_id;cliente_id;cliente_nombre;ubicacion;tipo_equipo;marca;modelo;plan_id;actividad;frecuencia_meses;criticidad;programado_para;estado;fecha_ejecucion;responsable;duracion_estimada_h
EQP-0066;CLI-026;Cliente 026;Obra 5 - Ushuaia;Soldadora Lincoln Ranger;Lincoln Electric;Ranger 305D;LR-006;Cambio de filtro de combustible;3;Alta;2022-04-01 00:00:00;Ejecutado;;M. Gómez;1
EQP-0006;CLI-036;Cliente 036;Planta 1 - Tolhuin;Soldadora Lincoln Ranger;Lincoln Electric;Ranger 305D;LR-004;Revisión de correas de ventilador y tensión;12;Media;03-01-2025;Planificado;;S. López;1
EQP-0038;CLI-044;Cliente 044;Taller 1 - Río Grande;Soldadora Lincoln Ranger;Lincoln Electric;Ranger 305D;LR-003;Limpieza de sistema de combustible y drenaje de sedimentos;3;Media;2024-05-01 00:00:00;Planificado;;L. Gómez;1,5
EQP-0025;CLI-005;Cliente 005;Oficina 4 - Tolhuin;Soldadora Lincoln Ranger;Lincoln Electric;Ranger 305D;LR-003;Limpieza de sistema de combustible y drenaje de sedimentos;3;Media;2025-05-01 00:00:00;Ejecutado;2025-05-06 00:00:00;M. Gómez;1,5
EQP-0094;CLI-044;Cliente 044;Taller 2 - Ushuaia;Hidrolavadora Karcher;Kärcher;HDS 9/18-4 M;KH-004;Limpieza de mangueras y boquillas;1;Baja;01/01/2025;Ejecutado;2024-12-31 00:00:00;J. Pérez;0,5
EQP-0019;CLI-036;Cliente 036;Planta 1 - Tolhuin;Generador Generac Guardian;Generac;Guardian 13 kVA (50Hz);GG-001;Cambio de aceite y filtro;6;Alta;2023-08-01 00:00:00;Ejecutado;2023-08-08 00:00:00;L. Gómez;1,5
EQP-0081;CLI-040;Cliente 040;Obra 5 - Ushuaia;Soldadora Lincoln Ranger;Lincoln Electric;Ranger 305D;BAD-LR-006;Cambio de filtro de combustible;3;Alta;2023-04-01 00:00:00;Ejecutado;2027-13-40;M. Gómez;1
EQP-0064;CLI-038;Cliente 038;Depósito 4 - Ushuaia;Hidrolavadora Karcher;Kärcher;HDS 12/18-4 S;KH-004;Limpieza de mangueras y boquillas;1;Baja;2027-13-40;Planificado;;M. Ruiz;0,5
EQP-0088;CLI-044;Cliente 044;Sucursal 4 - Río Grande;Hidrolavadora Karcher;Kärcher;HDS 9/18-4 M;KH-001;Limpieza de filtros de agua y combustible;1;Media;2025-02-01 00:00:00;ejecutado;2025-02-08 00:00:00;;0,5
EQP-0007;CLI-036;Cliente 036;Taller 4 - Ushuaia;Motor Cummins;Cummins;QSB 4.5;CU-003;Sustitución de filtro de aire primario/secundario;6;Media;2022-01-01 00:00:00;Ejecutado;2022-01-07 00:00:00;A. Torres;1
EQP-0099;CLI-005;Cliente 005;Depósito 4 - Río Grande;Soldadora Lincoln Ranger;Lincoln Electric;Ranger 305D;LR-008;Prueba de arranque y verificación de batería;3;Media;2025-04-01 00:00:00;Ejecutado;31/03/2025;J. Pérez;0,5
EQP-0081;CLI-040;Cliente 040;Obra 5 - Río Grande;Soldadora Lincoln Ranger;Lincoln Electric;Ranger 305D;LR-003;Limpieza de sistema de combustible y drenaje de sedimentos;3;Media;2024-04-01 00:00:00;Ejecutado;2024-03-27 00:00:00;R. Soto;1,5
EQP-0041;CLI-005;Cliente 005;Taller 2 - Ushuaia;Soldadora Lincoln Ranger;Lincoln Electric;Ranger 305D;LR-006;Cambio de filtro de combustible;3;Alta;2024-04-01 00:00:00;Ejecutado;2024-04-02 00:00:00;M. Gómez;1
EQP-0053;CLI-044;Cliente 044;Oficina 2 - Ushuaia;Hidrolavadora Karcher;Kärcher;HDS 12/18-4 S;KH-003;Revisión del sistema de seguridad y válvula de rebose;3;Alta;2023-01-01 00:00:00;Ejecutado;2023-01-04 00:00:00;J. Pérez;1
EQP-0097;CLI-044;Cliente 044;Sucursal 5 - Ushuaia;Hidrolavadora Karcher;Kärcher;HDS 9/18-4 M;KH-004;Limpieza de mangueras y boquillas;1;Baja;2024-03-01 00:00:00;Ejecutado;2024-02-28 00:00:00;;0,5
EQP-0001;CLI-025;Cliente 025;Sucursal 3 - Río Grande;Soldadora Lincoln Ranger;Lincoln Electric;Ranger 305D;LR-008;Prueba de arranque y verificación de batería;3;Media;2022-07-01 00:00:00;planificado;;J. Pérez;0,5
EQP-0037;CLI-032;Cliente 032;Obra 3 - Río Grande;Generador Generac Guardian;Generac;Guardian 13 kVA (50Hz);GG-008;Verificación de sistema de arranque automático;6;Media;2025-07-01 00:00:00;ejecutado;06-26-2025;M. Ruiz;0,5
EQP-0087;CLI-038;Cliente 038;Oficina 1 - Tolhuin;Soldadora Lincoln Ranger;Lincoln Electric;Ranger 305D;LR-003;Limpieza de sistema de combustible y drenaje de sedimentos;3;Media;2023-10-01 00:00:00;Planificado;;S. López;1,5
EQP-0023;CLI-041;Cliente 041;Planta 5 - Ushuaia;Motor Cummins;Cummins;QSB 4.5;CU-005;Cambio de filtro de combustible;6;Alta;2027-13-40;Ejecutado;1900-01-01;J. Pérez;1
EQP-0033;CLI-044;Cliente 044;Taller 5 - Ushuaia;Generador Generac Guardian;Generac;Guardian 8 kVA (50Hz);GG-001;Cambio de aceite y filtro;6;Alta;01/04/2023;Ejecutado;2023-03-29 00:00:00;M. Ruiz;1,5
EQP-0065;CLI-038;Cliente 038;Taller 4 - Río Grande;Generador Generac Guardian;Generac;Guardian 13 kVA (50Hz);GG-004;Comprobación de batería y cargador;3;Media;2025-03-01 00:00:00;Ejecutado;03-08-2025;R. Soto;0,5
EQP-0012;CLI-030;Cliente 030;Depósito 2 - Ushuaia;Soldadora Lincoln Ranger;Lincoln Electric;Ranger 305D;LR-001;Cambio de aceite de motor y filtro;3;Alta;2024-01-01 00:00:00;Planificado;;S. López;2
EQP-0004;CLI-049;Cliente 049;Planta 4 - Tolhuin;Soldadora Lincoln Ranger;Lincoln Electric;Ranger 305D;LR-005;Limpieza de radiador y sistema de refrigeración;6;Media;2025-01-01 00:00:00;Planificado;;A. Torres;1,5
EQP-0094;CLI-044;Cliente 044;Taller 2 - Ushuaia;Hidrolavadora Karcher;Kärcher;HDS 9/18-4 M;KH-008;Cambio de filtro fino de bomba;6;Alta;2024-07-01 00:00:00;Ejecutado;2024/07/05;M. Gómez;0,75
EQP-0017;CLI-049;Cliente 049;Sucursal 2 - Ushuaia;Hidrolavadora Karcher;Kärcher;HDS 9/18-4 M;KH-004;Limpieza de mangueras y boquillas;1;Baja;2024-01-01 00:00:00; Programado ;1900-01-01;J. Pérez;0,5
EQP-0053;CLI-044;Cliente 044;Oficina 2 - Tolhuin;Hidrolavadora Karcher;Kärcher;HDS 12/18-4 S;KH-001;Limpieza de filtros de agua y combustible;1;Media;04-01-2024;Ejecutado;2024-03-25 00:00:00;L. Gómez;0,5
EQP-0060;CLI-049;Cliente 049;Obra 3 - Río Grande;Generador Generac Guardian;Generac;Guardian 8 kVA (50Hz);GG-006;Prueba de carga en modo manual;3;Media;2023-10-01 00:00:00;Ejecutado;2023-10-02 00:00:00;M. Ruiz;0,75
EQP-0036;CLI-044;Cliente 044;Taller 2 - Ushuaia;Generador Generac Guardian;Generac;Guardian 10 kVA (50Hz);GG-008;Verificación de sistema de arranque automático;6;Media;2024-01-01 00:00:00;Ejecutado;1900-01-01;M. Gómez;0,5
