inventario_id,cliente_id_combinada,tipo_equipo,marca,modelo,numero_serie,fecha_compra,unidad,ubicacion_id,ciudad_localidad,estado_operativo,combustible,combustible_normalizado,potencia_valor,potencia_unidad,horometro_actual_h,garantia_activa,ultima revición
EQP-0005,Cliente 001 CLI-001,Motor Cummins,Cummins,QSB 6.7,CUQSB6-613758,14/09/25,Oficina,2,Tolhuin,Mantenimiento,Diésel,Diésel,180,kW,678,Sí,14/09/25
EQP-0037,Cliente 032 CLI-032,Generador Generac Guardian,Generac,Guardian 13 kVA (50Hz),GEGUAR-227016,10/04/24,Obra,3,Tolhuin,Operativo,Gas Natural / GLP,Gas,10,kVA,4173,No,10/04/24
EQP-0047,Cliente 044 CLI-044,Motor Cummins,Cummins,QSB 6.7,CUQSB6-906395,27/08/24,Obra,5,Río Grande,Operativo,Diésel,Diésel,125,kW,785,Sí,27/08/24
EQP-0086,Cliente 014 CLI-014 ,Motor Cummins,Cummins,QSB 6.7,CUQSB6-283675,01/07/24,Planta,4,Río Grande,Operativo,Diésel,Diésel,180,kW,812,Sí,01/07/24
EQP-0021,Cliente 026 CLI-026 ,Motor Cummins,Cummins,QSB 4.5,CUQSB4-906790,10/08/24,Obra,2,Río Grande,Operativo,Diésel,Diésel,180,kW,3890,No,10/08/24
EQP-0044,Cliente 017 CLI-017,Soldadora Lincoln Ranger,Lincoln Electric,Ranger 305D,LIRANG-639542,27/08/24,Taller,5,Río Grande,Operativo,Diésel,Diésel,95,kW,6324,No,27/08/24
EQP-0080,Cliente 049 CLI-049,Motor Cummins,Cummins,QSB 6.7,CUQSB6-632954,11/09/24,Depósito,3,Ushuaia,Operativo,Diésel,Diésel,180,kW,3559,No,11/09/24
EQP-0015,Cliente 032 CLI-032,Hidrolavadora Karcher,Kärcher,HDS 12/18-4 S,KÄHDS1-547556,21/12/24,Planta,4,Ushuaia,Operativo,Eléctrico + Gasóleo (quemador),Mixto,180,bar,877,No,21/12/24
EQP-0018,Cliente 026 CLI-026,Soldadora Lincoln Ranger,Lincoln Electric,Ranger 305D,LIRANG-718992,31/10/24,Obra,3,Tolhuin,Mantenimiento,Diésel,Diésel,95,kW,3479,No,31/10/24
EQP-0066,Cliente 026 CLI-026,Soldadora Lincoln Ranger,Lincoln Electric,Ranger 305D,LIRANG-143925,07/05/24,Obra,5,Río Grande,en_mantenimiento,Diésel,Diésel,95,kW,6754,No,07/05/24
EQP-0090,Cliente 024 CLI-024,Motor Cummins,Cummins,QSB 4.5,CUQSB4-330785,27/04/24,Sucursal,4,Ushuaia,Operativo,Diésel,Diésel,150,kW,2192,No,27/04/24
EQP-0038,Cliente 044 CLI-044,Soldadora Lincoln Ranger,Lincoln Electric,Ranger 305D,LIRANG-680466,22/01/25,Taller,1,Río Grande,Operativo,Diésel,Diésel,95,kW,2029,No,22/01/25
EQP-0092,Cliente 026 CLI-026,Generador Generac Guardian,Generac,Guardian 13 kVA (50Hz),GEGUAR-317215,04/08/25,Planta,2,Tolhuin,Operativo,Gas Natural / GLP,Gas,13,kVA,1332,No,04/08/25
EQP-0014,Cliente 044 CLI-044,Soldadora Lincoln Ranger,Lincoln Electric,Ranger 305D,LIRANG-352764,12/07/24,Sucursal,4,Tolhuin,Operativo,Diésel,Diésel,300,A,null,No,12/07/24
EQP-0002,Cliente 036 CLI-036,Motor Cummins,Cummins,QSB 6.7,CUQSB6-271836,08/06/24,Sucursal,4,Tolhuin,en operación,Diésel,Diésel,125,kW,4057,No,08/06/24
EQP-0053,Cliente 044 CLI-044,Hidrolavadora Karcher,Kärcher,HDS 12/18-4 S,KÄHDS1-735605,03/12/24,Oficina,2,Ushuaia,Operativo,Eléctrico + Gasóleo (quemador),Mixto,180,bar,1240,No,03/12/24
EQP-0020,Cliente 028 CLI-028,Motor Cummins,Cummins,QSB 4.5,CUQSB4-979090,04/12/24,Depósito,3,Río Grande,Operativo,Diésel,Diésel,150,kW,1739,No,04/12/24
EQP-0076,Cliente 044 CLI-044,Motor Cummins,Cummins,QSB 4.5,CUQSB4-295716,11/10/24,Oficina,1,Ushuaia,Operativo,Diésel,Diésel,125,kW,33007,No,11/10/24
EQP-0062,Cliente 044 CLI-044,Generador Generac Guardian,Generac,Guardian 10 kVA (50Hz),GEGUAR-716210,18/08/24,Obra,1,Río Grande,Operativo,Gas Natural / GLP,Gas,8,kVA,2850,No,18/08/24
EQP-0098,Cliente 039 CLI-039,Soldadora Lincoln Ranger,Lincoln Electric,Ranger 305D,LIRANG-322320,10/12/24,Sucursal,3,Tolhuin,Operativo,Diésel,Diésel,95,kW,1506,No,10/12/24
